53,-217964.0,-253055.0,158012.0,-215298.0,-249021.0,170466.0,-222039.0,-256241.0,170465.0
54,-210530.0,-239759.0,170466.0,-212133.0,-244605.0,158012.0,-208521.0,-234563.0,158012.0
55,-212133.0,-244605.0,158012.0,-210530.0,-239759.0,170466.0,-215298.0,-249021.0,170466.0
56,-208521.0,-234563.0,158012.0,-208134.0,-229551.0,170466.0,-210530.0,-239759.0,170466.0
57,-215298.0,-249021.0,170466.0,-217964.0,-253055.0,158012.0,-212133.0,-244605.0,158012.0
58,-208393.0,-219577.0,170466.0,-207488.0,-224238.0,158013.0,-209129.0,-214491.0,158012.0
59,-207488.0,-224238.0,158013.0,-208393.0,-219577.0,170466.0,-208134.0,-229551.0,170466.0
60,-209129.0,-214491.0,158012.0,-211220.0,-210350.0,170466.0,-208393.0,-219577.0,170466.0
61,-208134.0,-229551.0,170466.0,-208521.0,-234563.0,158012.0,-207488.0,-224238.0,158013.0
62,-216429.0,-202228.0,170466.0,-213269.0,-205694.0,158012.0,-219720.0,-198204.0,158012.0
63,-213269.0,-205694.0,158012.0,-216429.0,-202228.0,170466.0,-211220.0,-210350.0,170466.0
64,-219720.0,-198204.0,158012.0,-223840.0,-195559.0,170466.0,-216429.0,-202228.0,170466.0
65,-211220.0,-210350.0,170466.0,-209129.0,-214491.0,158012.0,-213269.0,-205694.0,158012.0
66,-233118.0,-190744.0,170466.0,-228279.0,-192379.0,158012.0,-238291.0,-188729.0,158012.0
67,-228279.0,-192379.0,158012.0,-233118.0,-190744.0,170466.0,-223840.0,-195559.0,170466.0
68,-238291.0,-188729.0,158012.0,-243311.0,-188395.0,170466.0,-233118.0,-190744.0,170466.0
69,-223840.0,-195559.0,170466.0,-219720.0,-198204.0,158012.0,-228279.0,-192379.0,158012.0
70,-253357.0,-188931.0,170465.0,-248660.0,-187880.0,158012.0,-258398.0,-189764.0,158012.0
71,-248660.0,-187880.0,158012.0,-253357.0,-188931.0,170465.0,-243311.0,-188395.0,170466.0
72,-243311.0,-188395.0,170466.0,-238291.0,-188729.0,158012.0,-248660.0,-187880.0,158012.0
73,-234379.0,-263440.0,158012.0,-230242.0,-261313.0,170465.0,-239420.0,-264273.0,170466.0
74,-234379.0,-263440.0,158012.0,-238826.0,-264969.0,145263.0,-229493.0,-261837.0,145263.0
75,-225556.0,-259301.0,158012.0,-229493.0,-261837.0,145263.0,-221182.0,-256562.0,145263.0
